Scheduler_Latency,Throughput,Avg_Waiting_Time,Avg_Turnaround_Time,Avg_Response_Time
1,0.009710,48948.65,49050.64,49001.43
2,0.009616,49449.15,49551.14,49501.93
3,0.009525,49949.65,50051.64,50002.43
4,0.009435,50450.15,50552.14,50502.93
5,0.009347,50950.65,51052.64,51003.43
6,0.009260,51451.15,51553.14,51503.93
7,0.009175,51951.65,52053.64,52004.43
8,0.009092,52452.15,52554.14,52504.93
9,0.009010,52952.65,53054.64,53005.43
10,0.008929,53453.15,53555.14,53505.93
11,0.008850,53953.65,54055.64,54006.43
12,0.008773,54454.15,54556.14,54506.93
13,0.008696,54954.65,55056.64,55007.43
14,0.008622,55455.15,55557.14,55507.93
15,0.008548,55955.65,56057.64,56008.43
16,0.008475,56456.15,56558.14,56508.93
17,0.008404,56956.65,57058.64,57009.43
18,0.008334,57457.15,57559.14,57509.93
19,0.008265,57957.65,58059.64,58010.43
20,0.008197,58458.15,58560.14,58510.93
21,0.008131,58958.65,59060.64,59011.43
22,0.008065,59459.15,59561.14,59511.93
23,0.008001,59959.65,60061.64,60012.43
24,0.007937,60460.15,60562.14,60512.93
25,0.007875,60960.65,61062.64,61013.43
26,0.007813,61461.15,61563.14,61513.93
27,0.007753,61961.65,62063.64,62014.43
28,0.007693,62462.15,62564.14,62514.93
29,0.007634,62962.65,63064.64,63015.43
30,0.007576,63463.15,63565.14,63515.93
31,0.007519,63963.65,64065.64,64016.43
32,0.007463,64464.15,64566.14,64516.93
33,0.007408,64964.65,65066.64,65017.43
34,0.007354,65465.15,65567.14,65517.93
35,0.007300,65965.65,66067.64,66018.43
36,0.007247,66466.15,66568.14,66518.93
37,0.007195,66966.65,67068.64,67019.43
38,0.007143,67467.15,67569.14,67519.93
39,0.007093,67967.65,68069.64,68020.43
40,0.007043,68468.15,68570.14,68520.93
41,0.006994,68968.65,69070.64,69021.43
42,0.006945,69469.15,69571.14,69521.93
43,0.006897,69969.65,70071.64,70022.43
44,0.006850,70470.15,70572.14,70522.93
45,0.006803,70970.65,71072.64,71023.43
46,0.006757,71471.15,71573.14,71523.93
47,0.006712,71971.65,72073.64,72024.43
48,0.006667,72472.15,72574.14,72524.93
49,0.006623,72972.65,73074.64,73025.43
50,0.006579,73473.15,73575.14,73525.93
51,0.006536,73973.65,74075.64,74026.43
52,0.006494,74474.15,74576.14,74526.93
53,0.006452,74974.65,75076.64,75027.43
54,0.006411,75475.15,75577.14,75527.93
55,0.006370,75975.65,76077.64,76028.43
56,0.006330,76476.15,76578.14,76528.93
57,0.006290,76976.65,77078.64,77029.43
58,0.006250,77477.15,77579.14,77529.93
59,0.006212,77977.65,78079.64,78030.43
60,0.006173,78478.15,78580.14,78530.93
61,0.006135,78978.65,79080.64,79031.43
62,0.006098,79479.15,79581.14,79531.93
63,0.006061,79979.65,80081.64,80032.43
64,0.006024,80480.15,80582.14,80532.93
65,0.005988,80980.65,81082.64,81033.43
66,0.005953,81481.15,81583.14,81533.93
67,0.005918,81981.65,82083.64,82034.43
68,0.005883,82482.15,82584.14,82534.93
69,0.005848,82982.65,83084.64,83035.43
70,0.005814,83483.15,83585.14,83535.93
71,0.005781,83983.65,84085.64,84036.43
72,0.005747,84484.15,84586.14,84536.93
73,0.005715,84984.65,85086.64,85037.43
74,0.005682,85485.15,85587.14,85537.93
75,0.005650,85985.65,86087.64,86038.43
76,0.005618,86486.15,86588.14,86538.93
77,0.005587,86986.65,87088.64,87039.43
78,0.005556,87487.15,87589.14,87539.93
79,0.005525,87987.65,88089.64,88040.43
80,0.005495,88488.15,88590.14,88540.93
81,0.005465,88988.65,89090.64,89041.43
82,0.005435,89489.15,89591.14,89541.93
83,0.005406,89989.65,90091.64,90042.43
84,0.005377,90490.15,90592.14,90542.93
85,0.005348,90990.65,91092.64,91043.43
