Quantum_size,Throughput,Avg_Waiting_Time,Avg_Turnaround_Time,Avg_Response_Time
1,0.000467,1427846.43,1427948.42,10546.69
2,0.000888,748958.15,749060.14,11031.11
3,0.001268,522858.67,522960.66,11509.37
4,0.001614,410088.53,410190.52,11989.54
5,0.001931,341743.42,341845.41,12477.41
6,0.002222,296296.34,296398.33,12952.04
7,0.002488,264082.43,264184.42,13419.71
8,0.002735,240121.69,240223.68,13882.60
9,0.002963,220983.50,221085.49,14360.54
10,0.003177,205729.55,205831.54,14833.98
11,0.003372,193513.17,193615.16,15289.40
12,0.003557,183288.92,183390.91,15753.66
13,0.003728,174494.49,174596.48,16203.53
14,0.003889,167024.53,167126.52,16670.37
15,0.004039,160842.68,160944.67,17133.71
16,0.004183,155091.51,155193.50,17588.19
17,0.004318,149857.11,149959.10,18046.88
18,0.004451,145126.53,145228.52,18490.89
19,0.004565,141446.80,141548.79,18941.30
20,0.004688,137668.72,137770.71,19378.78
21,0.004781,135006.77,135108.76,19817.41
22,0.004891,131822.54,131924.53,20261.61
23,0.004985,129418.53,129520.52,20690.22
24,0.005083,126356.76,126458.75,21134.87
25,0.005176,124278.30,124380.29,21578.31
26,0.005255,122000.35,122102.33,22019.69
27,0.005332,120088.60,120190.59,22453.63
28,0.005416,117982.66,118084.65,22873.72
29,0.005492,116424.34,116526.32,23300.49
30,0.005558,114755.69,114857.68,23723.90
31,0.005625,113256.13,113358.12,24136.11
32,0.005689,112101.32,112203.31,24557.44
33,0.005767,110149.71,110251.70,24965.37
34,0.005824,109008.01,109110.00,25378.32
35,0.005874,107831.01,107933.00,25782.57
36,0.005925,106939.40,107041.39,26188.28
37,0.005976,106001.12,106103.11,26579.09
38,0.006024,105397.95,105499.94,26982.58
39,0.006089,103876.49,103978.48,27385.15
40,0.006150,103027.11,103129.10,27781.57
41,0.006185,102378.67,102480.66,28175.87
42,0.006219,101868.23,101970.22,28552.90
43,0.006254,101146.88,101248.87,28945.40
44,0.006294,100329.33,100431.32,29334.27
45,0.006339,99364.59,99466.58,29717.50
46,0.006379,98669.59,98771.58,30089.17
47,0.006420,97566.05,97668.04,30465.96
48,0.006474,96546.01,96648.00,30841.61
49,0.006515,95823.13,95925.12,31213.15
50,0.006566,95046.06,95148.05,31582.94
51,0.006588,94851.45,94953.43,31948.49
52,0.006619,94168.58,94270.57,32268.59
53,0.006644,93776.79,93878.78,32630.23
54,0.006669,93440.00,93541.99,32992.06
55,0.006697,92862.75,92964.74,33347.92
56,0.006725,92236.81,92338.80,33697.96
57,0.006750,91812.93,91914.91,34046.79
58,0.006772,91554.15,91656.14,34392.87
59,0.006800,91134.40,91236.39,34737.15
60,0.006829,90597.85,90699.84,35077.36
61,0.006861,89940.55,90042.54,35416.33
62,0.006881,89784.85,89886.84,35749.87
63,0.006903,89711.07,89813.05,36083.46
64,0.006933,89311.15,89413.14,36402.26
65,0.006965,88609.02,88711.01,36729.70
66,0.007001,87867.30,87969.29,37033.35
67,0.007032,87418.30,87520.29,37351.75
68,0.007044,87308.28,87410.27,37669.25
69,0.007054,87291.61,87393.60,37984.57
70,0.007070,86850.96,86952.95,38300.75
71,0.007090,86310.40,86412.39,38610.74
72,0.007107,86014.51,86116.50,38901.28
73,0.007120,85888.02,85990.01,39203.53
74,0.007130,85805.45,85907.44,39504.24
75,0.007143,85689.24,85791.23,39802.88
76,0.007154,85683.83,85785.82,40099.64
77,0.007178,85048.78,85150.77,40398.18
78,0.007202,84292.95,84394.94,40677.15
79,0.007218,84070.30,84172.29,40965.80
80,0.007231,83889.23,83991.22,41253.25
81,0.007252,83349.09,83451.07,41537.23
82,0.007264,83273.07,83375.05,41817.96
83,0.007276,83313.33,83415.32,42098.24
84,0.007293,82871.81,82973.80,42369.35
85,0.007307,82519.48,82621.47,42632.76
86,0.007328,82048.82,82150.81,42886.78
87,0.007338,82014.83,82116.82,43154.99
88,0.007357,81668.78,81770.77,43422.82
89,0.007373,81540.70,81642.69,43691.06
90,0.007395,80832.25,80934.24,43947.97
91,0.007410,80613.00,80714.99,44206.35
92,0.007430,80157.15,80259.14,44463.08
93,0.007450,79356.68,79458.67,44715.62
94,0.007463,79107.22,79209.21,44960.97
95,0.007488,78739.01,78841.00,45204.61
96,0.007502,78569.80,78671.79,45445.82
97,0.007518,78303.18,78405.17,45685.27
98,0.007536,77866.25,77968.24,45918.32
99,0.007557,77611.21,77713.20,46150.61
100,0.007581,77132.25,77234.24,46384.15
101,0.007584,77090.37,77192.36,46612.20
102,0.007589,76984.68,77086.67,46837.95
103,0.007595,76915.90,77017.89,47063.27
104,0.007598,76926.50,77028.49,47282.36
105,0.007606,76783.80,76885.79,47503.79
106,0.007608,76971.17,77073.16,47721.98
107,0.007610,77099.17,77201.16,47939.22
108,0.007614,77029.26,77131.24,48157.19
109,0.007625,76644.50,76746.49,48367.94
110,0.007630,76582.01,76683.99,48572.98
111,0.007638,76337.51,76439.50,48783.22
112,0.007642,76309.85,76411.84,48990.38
113,0.007649,76133.19,76235.18,49196.11
114,0.007652,76171.00,76272.99,49393.75
115,0.007656,76112.27,76214.26,49595.52
116,0.007658,76270.80,76372.79,49795.90
117,0.007663,76192.20,76294.19,49995.63
118,0.007671,76064.80,76166.79,50193.87
119,0.007678,75862.04,75964.03,50380.47
120,0.007684,75622.28,75724.27,50573.78
121,0.007689,75548.55,75650.54,50763.04
122,0.007697,75280.70,75382.69,50951.67
123,0.007699,75346.58,75448.57,51136.81
124,0.007705,75230.39,75332.38,51321.13
125,0.007706,75329.24,75431.23,51503.39
126,0.007712,75349.31,75451.30,51684.24
127,0.007713,75479.58,75581.57,51865.50
128,0.007720,75299.74,75401.73,52033.21
129,0.007724,75288.76,75390.75,52202.60
130,0.007732,74997.43,75099.42,52380.16
131,0.007737,74892.79,74994.78,52553.89
132,0.007745,74493.42,74595.41,52725.82
133,0.007755,74161.76,74263.75,52892.76
134,0.007760,74026.41,74128.40,53056.72
135,0.007766,73762.54,73864.53,53218.27
136,0.007771,73655.80,73757.79,53376.41
137,0.007778,73368.48,73470.47,53532.62
138,0.007780,73327.53,73429.52,53685.26
139,0.007789,72973.56,73075.55,53836.58
